Species	PUL ID	Name	Modularity	Overlap IDs	Overlap Names	Length	Postion_GH154	Count_GH154	Postion_unk	Count_unk	Postion_GH	Count_GH
Bacteroides faecis BFG-108	#56189	Predicted PUL 13	unk SusD GH43_18 unk unk GH154 unk unk SusC SusD GH30_6 GH130_1			12	5	1	0, 3, 4, 6, 7	5	2, 5, 10, 11	4
Bacteroides faecis BFG-108	#56207	Predicted PUL 31	GH35|CBM32 GH43_19 GH51_2 GH31_4 HTCS GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			20	10	1	6, 9, 12, 15	4	0, 1, 2, 3, 5, 7, 8, 10, 16, 17, 19	11
Bacteroides faecis BFG-467	#70060	Predicted PUL 12	ECF-σ Anti-σ SusC SusD GH43_18 GH43_18 unk unk GH154 unk unk SusC SusD GH30_6 GH130_1			15	8	1	6, 7, 9, 10	4	4, 5, 8, 13, 14	5
Bacteroides faecis BFG-467	#70073	Predicted PUL 25	GH35|CBM32 GH43_19 GH51_2 unk HTCS GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk unk unk GH16_3|GH43_24 GH43_24 PL42 GH105			22	10	1	3, 6, 9, 12, 15, 16, 17	7	0, 1, 2, 5, 7, 8, 10, 18, 19, 21	10
Bacteroides faecis BFG-493	#67272	Predicted PUL 15	ECF-σ Anti-σ SusC SusD GH43_18 unk unk GH154 unk unk SusC SusD GH30_6 unk GH130_1			15	7	1	5, 6, 8, 9, 13	5	4, 7, 12, 14	4
Bacteroides faecis BFG-493	#67284	Predicted PUL 27	GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			16	5	1	1, 4, 7, 11	4	0, 2, 3, 5, 12, 13, 15	7
Bacteroides faecis BFG-513	#70225	Predicted PUL 10	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk GH97 HTCS GH31_4 GH51_2 GH43_19 GH35|CBM32			20	9	1	4, 7, 10, 13	4	0, 2, 3, 9, 11, 12, 14, 16, 17, 18, 19	11
Bacteroides faecis BFG-513	#70240	Predicted PUL 25	GH130_1 unk GH30_6 SusD SusC unk unk GH154			8	7	1	1, 5, 6	3	0, 2, 7	3
Bacteroides faecis BFG-527	#67788	Predicted PUL 13	unk SusD GH43_18 unk unk GH154 unk unk SusC SusD GH30_6 GH130_1			12	5	1	0, 3, 4, 6, 7	5	2, 5, 10, 11	4
Bacteroides faecis BFG-527	#67805	Predicted PUL 30	GH35|CBM32 GH43_19 GH51_2 GH31_4 unk GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			20	10	1	4, 6, 9, 12, 15	5	0, 1, 2, 3, 5, 7, 8, 10, 16, 17, 19	11
Bacteroides faecis BFG-554	#69149	Predicted PUL 12	ECF-σ Anti-σ SusC SusD GH43_18 unk unk GH154 unk unk SusC SusD GH30_6 GH130_1			14	7	1	5, 6, 8, 9	4	4, 7, 12, 13	4
Bacteroides faecis BFG-554	#69163	Predicted PUL 26	GH35|CBM32 GH43_19 GH51_2 unk HTCS GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk unk unk GH16_3|GH43_24 GH43_24 PL42 GH105			22	10	1	3, 6, 9, 12, 15, 16, 17	7	0, 1, 2, 5, 7, 8, 10, 18, 19, 21	10
Bacteroides faecis BFG-624	#64973	Predicted PUL 16	unk SusD GH43_18 unk unk GH154 unk unk SusC unk SusD GH30_6 GH130_1			13	5	1	0, 3, 4, 6, 7, 9	6	2, 5, 11, 12	4
Bacteroides faecis WAL8736	#71010	Predicted PUL 14	GH154 unk unk GH43_18 SusD SusC Anti-σ ECF-σ			8	0	1	1, 2	2	0, 3	2
Bacteroides faecis WAL8736	#71058	Predicted PUL 62	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk GH97			15	9	1	4, 7, 10, 13	4	0, 2, 3, 9, 11, 12, 14	7
Bacteroides fluxus YIT 12057	#1008	Predicted PUL 24	GH154 unk unk Est GH88 SusD SusC PL35 CE6 GH95 GH unk GH110 unk unk GH89 GH84 HTCS			18	0	1	1, 2, 11, 13, 14	5	0, 4, 9, 10, 12, 15, 16	7
Bacteroides fragilis 3_1_12	#1251	Predicted PUL 34	SusC SusD PL33_1 GH88 unk GH20 GH2 GH154			8	7	1	4	1	3, 5, 6, 7	4
Bacteroides fragilis 638R	#3781	Predicted PUL 3	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC	#3775	Lite 1	15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis 86-5443-2-2	#61143	Predicted PUL 26	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BE1	#22710	Predicted PUL 3	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-1	#56677	Predicted PUL 3	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-13	#66237	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-14	#64652	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-16	#64032	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-167	#67494	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-17	#65910	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-18	#64813	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-23	#67022	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-300	#69281	Predicted PUL 11	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-310	#65967	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-317	#67986	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-403	#63857	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-435	#64327	Predicted PUL 13	GH154 GH2 GH20 unk unk PL33_1 SusD SusC HTCS			9	0	1	3, 4	2	0, 1, 2	3
Bacteroides fragilis BFG-448	#65854	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS			9	0	1	3	1	0, 1, 2, 4	4
Bacteroides fragilis BFG-480	#65105	Predicted PUL 11	GH154 GH2 GH20 GH88 unk GH144 GH3 SusD SusC			9	0	1	4	1	0, 1, 2, 3, 5, 6	6
Bacteroides fragilis BFG-481	#67348	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS			9	0	1	3	1	0, 1, 2, 4	4
Bacteroides fragilis BFG-49	#64437	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-502	#68940	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-506	#69651	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-509	#65325	Predicted PUL 22	SusC SusD PL33_1 GH88 unk GH20 unk GH154			8	7	1	4, 6	2	3, 5, 7	3
Bacteroides fragilis BFG-518	#68218	Predicted PUL 10	GH154 unk GH20 unk GH88 PL33_1 SusD SusC HTCS			9	0	1	1, 3	2	0, 2, 4	3
Bacteroides fragilis BFG-525	#64593	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-526	#69881	Predicted PUL 5	SusC SusD GH3 GH144 unk unk HTCS SusC SusD PL33_1 GH88 unk GH20 GH2 GH154			15	14	1	4, 5, 11	3	2, 3, 10, 12, 13, 14	6
Bacteroides fragilis BFG-536	#69946	Predicted PUL 14	GH154 unk GH20 unk GH88 PL33_1 SusD SusC unk HTCS			10	0	1	1, 3, 8	3	0, 2, 4	3
Bacteroides fragilis BFG-539	#68777	Predicted PUL 10	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3			13	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-569	#70004	Predicted PUL 12	GH154 GH2 GH20 GH88 unk GH144 GH3 SusD SusC			9	0	1	4	1	0, 1, 2, 3, 5, 6	6
Bacteroides fragilis BFG-57	#68376	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-584	#66858	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-604	#68997	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-634	#66351	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-640	#65607	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-642	#68493	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk GH144 GH3 SusD SusC			14	0	1	3, 9	2	0, 1, 2, 4, 10, 11	6
Bacteroides fragilis BFG-7	#69224	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-70	#68612	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-79	#69485	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-85	#65451	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC unk HTCS unk unk GH144 GH3 SusD SusC			16	0	1	3, 8, 10, 11	4	0, 1, 2, 4, 12, 13	6
Bacteroides fragilis BFG-89	#64178	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-9	#68434	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BFG-95	#66295	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis BOB25	#22770	Predicted PUL 3	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis CCUG4856T	#38583	Predicted PUL 15	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC			16	0	1	3, 6, 10, 11	4	0, 1, 2, 4, 12, 13	6
Bacteroides fragilis CL03T00C08	#16594	Predicted PUL 4	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS			9	0	1	3	1	0, 1, 2, 4	4
Bacteroides fragilis CL03T12C07	#14722	Predicted PUL 42	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis CL05T12C13	#15008	Predicted PUL 4	GH154 GH2 GH20 GH88 unk GH144 GH3 SusD SusC			9	0	1	4	1	0, 1, 2, 3, 5, 6	6
Bacteroides fragilis CL07T00C01	#15614	Predicted PUL 31	SusC SusD GH3 GH144 unk unk HTCS SusC SusD PL33_1 GH88 unk GH20 GH2 GH154			15	14	1	4, 5, 11	3	2, 3, 10, 12, 13, 14	6
Bacteroides fragilis CL07T12C05	#16146	Predicted PUL 4	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis DCMOUH0017B	#38326	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC			16	0	1	3, 6, 10, 11	4	0, 1, 2, 4, 12, 13	6
Bacteroides fragilis DCMOUH0018B	#38382	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC			16	0	1	3, 6, 10, 11	4	0, 1, 2, 4, 12, 13	6
Bacteroides fragilis DCMOUH0042B	#38213	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC			16	0	1	3, 6, 10, 11	4	0, 1, 2, 4, 12, 13	6
Bacteroides fragilis DCMOUH0067B	#38437	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC			16	0	1	3, 6, 10, 11	4	0, 1, 2, 4, 12, 13	6
Bacteroides fragilis DCMOUH0085B	#38495	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC			16	0	1	3, 6, 10, 11	4	0, 1, 2, 4, 12, 13	6
Bacteroides fragilis DCMSKEJBY0001B	#38273	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC			16	0	1	3, 6, 10, 11	4	0, 1, 2, 4, 12, 13	6
Bacteroides fragilis DH4096B	#71943	Predicted PUL 5	GH154 unk GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	1, 3, 9, 10	4	0, 2, 4, 11, 12	5
Bacteroides fragilis DK1985	#48773	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC			16	0	1	3, 6, 10, 11	4	0, 1, 2, 4, 12, 13	6
Bacteroides fragilis FDAARGOS_1225	#48967	Predicted PUL 29	SusC SusD GH3 GH144 unk unk HTCS SusC SusD PL33_1 GH88 unk GH20 GH2 GH154			15	14	1	4, 5, 11	3	2, 3, 10, 12, 13, 14	6
Bacteroides fragilis FDAARGOS_763	#45416	Predicted PUL 30	SusC SusD GH3 GH144 unk unk HTCS SusC SusD PL33_1 GH88 unk GH20 GH2 GH154			15	14	1	4, 5, 11	3	2, 3, 10, 12, 13, 14	6
Bacteroides fragilis H-2631	#79313	Predicted PUL 30	SusC SusD GH3 GH144 unk unk HTCS SusC SusD PL33_1 GH88 unk GH20 GH2 GH154			15	14	1	4, 5, 11	3	2, 3, 10, 12, 13, 14	6
Bacteroides fragilis HMW 610	#15439	Predicted PUL 51	SusC SusD GH3 GH144 unk HTCS unk SusC SusD PL33_1 GH88 unk GH20 GH2 GH154			15	14	1	4, 6, 11	3	2, 3, 10, 12, 13, 14	6
Bacteroides fragilis HMW 615	#15971	Predicted PUL 19	SusC SusD GH3 GH144 unk unk HTCS SusC SusD PL33_1 GH88 unk GH20 GH2 GH154			15	14	1	4, 5, 11	3	2, 3, 10, 12, 13, 14	6
Bacteroides fragilis HMW 616	#16699	Predicted PUL 46	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC			8	0	1	3	1	0, 1, 2, 4	4
Bacteroides fragilis IHMA_13	#58521	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis IHMA_4	#58577	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis NCTC 9343	#3719	Predicted PUL 3	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis Q1F2	#31771	Predicted PUL 50	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis S14	#23801	Predicted PUL 48	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis VIII-271F	#21760	Predicted PUL 23	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC			15	0	1	3, 9, 10	3	0, 1, 2, 4, 11, 12	6
Bacteroides fragilis YCH46	#3657	Predicted PUL 3	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC			16	0	1	3, 6, 10, 11	4	0, 1, 2, 4, 12, 13	6
Bacteroides graminisolvens DSM 19988	#13120	Predicted PUL 17	ECF-σ Anti-σ SusC SusD GH31_4 GH146 HTCS GH51_2 SusC SusD GH16_3|GH43_24 GH154 GH2 PL42 GH105|GH2			15	11	1		0	4, 5, 7, 10, 11, 12, 14	7
Bacteroides heparinolyticus F0111	#33172	Predicted PUL 36	GH154 PL42 GH105 GH97 GH51_2 GH127 GH2 HTCS SusC SusD			10	0	1		0	0, 2, 3, 4, 5, 6	6
Bacteroides intestinalis APC919-174	#39385	Predicted PUL 2	HTCS GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH16_3 GH43_24 unk SusD SusC HTCS unk GH154 unk unk SusD SusC ECF-σ HTCS			24	9, 17	2	12, 16, 18, 19	4	1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 17	11
Bacteroides intestinalis APC919-174	#39414	Predicted PUL 31	HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 Sulf_1 GH43_28 Sulf_1			12	8	1	6	1	1, 7, 8, 10	4
Bacteroides intestinalis APC919-174	#39445	Predicted PUL 62	GH105 SusD SusC unk GH154 GH154 HTCS			7	4, 5	2	3	1	0, 4, 5	3
Bacteroides intestinalis APC919-174 substr. 8T	#57146	Predicted PUL 2	HTCS GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH16_3 GH43_24 unk SusD SusC HTCS GH154 unk unk SusD SusC ECF-σ HTCS			23	9, 16	2	12, 17, 18	3	1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 16	11
Bacteroides intestinalis APC919-174 substr. 8T	#57174	Predicted PUL 30	HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 Sulf_1 GH43_28 Sulf_1			12	8	1	6	1	1, 7, 8, 10	4
Bacteroides intestinalis APC919-174 substr. 8T	#57205	Predicted PUL 61	GH105 SusD SusC unk GH154 GH154 HTCS			7	4, 5	2	3	1	0, 4, 5	3
Bacteroides intestinalis APC919-174 substr. 8W	#57223	Predicted PUL 2	HTCS GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH16_3 unk unk SusD SusC HTCS GH154 unk unk SusD SusC ECF-σ HTCS			23	9, 16	2	11, 12, 17, 18	4	1, 2, 3, 4, 5, 6, 7, 9, 10, 16	10
Bacteroides intestinalis APC919-174 substr. 8W	#57251	Predicted PUL 30	HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 Sulf_1 GH43_28 Sulf_1			12	8	1	6	1	1, 7, 8, 10	4
Bacteroides intestinalis APC919-174 substr. 8W	#57282	Predicted PUL 61	GH105 SusD SusC unk GH154 GH154 HTCS			7	4, 5	2	3	1	0, 4, 5	3
Bacteroides intestinalis DSM 17393	#34	Predicted PUL 6	GH43_24|GH35|CBM32 GH115 SusD SusC HTCS GH115 CE12|GH43_24 GH43_9|CBM91 SusD SusC HTCS unk unk unk GH31 SusD SusC HTCS GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH16_3 GH43_24 unk SusD SusC HTCS GH154 unk unk SusD SusC ECF-σ HTCS			40	26, 33	2	11, 12, 13, 29, 34, 35	6	0, 1, 5, 6, 7, 14, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 33	17
Bacteroides intestinalis DSM 17393	#56	Predicted PUL 28	HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 unk GH88|GH154 Sulf_1 GH43_28 Sulf_1			13	9	1	6, 8	2	1, 7, 9, 11	4
Bacteroides intestinalis DSM 17393	#74	Predicted PUL 46	GH105 SusD SusC unk GH154 GH154 HTCS			7	4, 5	2	3	1	0, 4, 5	3
Bacteroides intestinalis TSDC17.2	#27331	Predicted PUL 61	GH43_17 GH2 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24 SusD SusC HTCS GH43_24|GH16_3 GH16_3 unk SusD SusC SusD SusC unk HTCS GH154 unk unk SusD SusC unk unk unk Pept_MA SusD SusC ECF-σ			35	9, 23	2	16, 21, 24, 25, 28, 29, 30	7	0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 14, 15, 23	13
Bacteroides oleiciplenus YIT 12058	#10121	Predicted PUL 41	HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 Sulf_1 GH43_28 Sulf_1 unk			13	8	1	6, 12	2	1, 7, 8, 10	4
Bacteroides oleiciplenus YIT 12058	#10130	Predicted PUL 50	HTCS ECF-σ SusC SusD unk unk GH154 HTCS SusC SusD GH43_24 GH154 PL42 GH105 GH43_19|GH43_34 GH97|GH43_19 GH51_2 GH51_2 GH2 GH43_17 unk unk HTCS unk unk SusC SusD GH43_19 GH43_9|CBM91 GH2 GH51_2 unk CE12 GH43_24 GH115			35	6, 11	2	4, 5, 20, 21, 23, 24, 31	7	6, 10, 11, 13, 14, 15, 16, 17, 18, 19, 27, 28, 29, 30, 33, 34	16
Bacteroides oleiciplenus YIT 12058	#10143	Predicted PUL 63	GH105 SusD SusC unk GH154 GH154 unk HTCS			8	4, 5	2	3, 6	2	0, 4, 5	3
Bacteroides ovatus ATCC 8483	#397	Predicted PUL 49	GH2 CE12|CE12 HTCS unk unk unk unk GH106 unk unk PL11_1 SusD SusC unk unk SusD SusC unk GH2 GH88 GH154 Est GH28 unk GH95 GH2 GH105 PL11_1	#282	Lite 49	28	20	1	3, 4, 5, 6, 8, 9, 13, 14, 17, 23	10	0, 7, 18, 19, 20, 22, 24, 25, 26	9
Bacteroides ovatus ATCC 8483 (new assembly)	#28661	Predicted PUL 56	GH2 CE12|CE12 HTCS unk GH106 unk unk PL11_1 SusD SusC unk unk SusD SusC unk GH2 GH88 GH154 Est GH28 GH95 GH2 GH105 PL11_1	#28541	Lite 49	24	17	1	3, 5, 6, 10, 11, 14	6	0, 4, 15, 16, 17, 19, 20, 21, 22	9
Bacteroides ovatus BFG-107	#56354	Predicted PUL 96	GH130_1 unk GH30_6 SusD SusC GH130_1 unk GH30_6 SusD SusC unk GH154			12	11	1	1, 6, 10	3	0, 2, 5, 7, 11	5
Bacteroides ovatus BFG-179	#66515	Predicted PUL 40	CBM32 SusD SusC unk HTCS Pept_SC unk GH154 GH43_34 GH127 unk HTCS unk SusD SusC unk GH97 GH51_2 GH43_19 GH35|CBM32			20	7	1	3, 6, 10, 12, 15	5	7, 8, 9, 16, 17, 18, 19	7
Bacteroides ovatus BFG-179	#66541	Predicted PUL 66	GH130_1 unk GH30 GH30 SusD SusC GH130_1 unk GH30_6 SusD SusC unk GH154			13	12	1	1, 7, 11	3	0, 2, 3, 6, 8, 12	6
Bacteroides ovatus BFG-258	#66922	Predicted PUL 17	GH154 unk SusC SusD GH30_6 unk GH130_1 SusC SusD GH30 GH30_6 unk GH130_1			13	0	1	1, 5, 11	3	0, 4, 6, 9, 10, 12	6
