Species	PUL ID	Name	Modularity	Overlap IDs	Overlap Names
Bacteroides fragilis BFG-57	#68376	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-584	#66858	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-604	#68997	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-634	#66351	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-640	#65607	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-642	#68493	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-7	#69224	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-70	#68612	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-79	#69485	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-85	#65451	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC unk HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-89	#64178	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-9	#68434	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-95	#66295	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BOB25	#22770	Predicted PUL 3	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis CCUG4856T	#38583	Predicted PUL 15	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis CL03T00C08	#16594	Predicted PUL 4	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS		
Bacteroides fragilis CL03T12C07	#14722	Predicted PUL 42	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis CL05T12C13	#15008	Predicted PUL 4	GH154 GH2 GH20 GH88 unk GH144 GH3 SusD SusC		
Bacteroides fragilis CL07T00C01	#15614	Predicted PUL 31	SusC SusD GH3 GH144 unk unk HTCS SusC SusD PL33_1 GH88 unk GH20 GH2 GH154		
Bacteroides fragilis CL07T12C05	#16146	Predicted PUL 4	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis DCMOUH0017B	#38326	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis DCMOUH0018B	#38382	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis DCMOUH0042B	#38213	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis DCMOUH0067B	#38437	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis DCMOUH0085B	#38495	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis DCMSKEJBY0001B	#38273	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis DH4096B	#71943	Predicted PUL 5	GH154 unk GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis DK1985	#48773	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis FDAARGOS_1225	#48967	Predicted PUL 29	SusC SusD GH3 GH144 unk unk HTCS SusC SusD PL33_1 GH88 unk GH20 GH2 GH154		
Bacteroides fragilis FDAARGOS_763	#45416	Predicted PUL 30	SusC SusD GH3 GH144 unk unk HTCS SusC SusD PL33_1 GH88 unk GH20 GH2 GH154		
Bacteroides fragilis H-2631	#79313	Predicted PUL 30	SusC SusD GH3 GH144 unk unk HTCS SusC SusD PL33_1 GH88 unk GH20 GH2 GH154		
Bacteroides fragilis HMW 610	#15439	Predicted PUL 51	SusC SusD GH3 GH144 unk HTCS unk SusC SusD PL33_1 GH88 unk GH20 GH2 GH154		
Bacteroides fragilis HMW 615	#15971	Predicted PUL 19	SusC SusD GH3 GH144 unk unk HTCS SusC SusD PL33_1 GH88 unk GH20 GH2 GH154		
Bacteroides fragilis HMW 616	#16699	Predicted PUL 46	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC		
Bacteroides fragilis IHMA_13	#58521	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis IHMA_4	#58577	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis NCTC 9343	#3719	Predicted PUL 3	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis Q1F2	#31771	Predicted PUL 50	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis S14	#23801	Predicted PUL 48	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis VIII-271F	#21760	Predicted PUL 23	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis YCH46	#3657	Predicted PUL 3	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides graminisolvens DSM 19988	#13120	Predicted PUL 17	ECF-σ Anti-σ SusC SusD GH31_4 GH146 HTCS GH51_2 SusC SusD GH16_3|GH43_24 GH154 GH2 PL42 GH105|GH2		
Bacteroides heparinolyticus F0111	#33172	Predicted PUL 36	GH154 PL42 GH105 GH97 GH51_2 GH127 GH2 HTCS SusC SusD		
Bacteroides intestinalis APC919-174	#39385	Predicted PUL 2	HTCS GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH16_3 GH43_24 unk SusD SusC HTCS unk GH154 unk unk SusD SusC ECF-σ HTCS		
Bacteroides intestinalis APC919-174	#39414	Predicted PUL 31	HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 Sulf_1 GH43_28 Sulf_1		
Bacteroides intestinalis APC919-174	#39445	Predicted PUL 62	GH105 SusD SusC unk GH154 GH154 HTCS		
Bacteroides intestinalis APC919-174 substr. 8T	#57146	Predicted PUL 2	HTCS GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH16_3 GH43_24 unk SusD SusC HTCS GH154 unk unk SusD SusC ECF-σ HTCS		
Bacteroides intestinalis APC919-174 substr. 8T	#57174	Predicted PUL 30	HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 Sulf_1 GH43_28 Sulf_1		
Bacteroides intestinalis APC919-174 substr. 8T	#57205	Predicted PUL 61	GH105 SusD SusC unk GH154 GH154 HTCS		
Bacteroides intestinalis APC919-174 substr. 8W	#57223	Predicted PUL 2	HTCS GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH16_3 unk unk SusD SusC HTCS GH154 unk unk SusD SusC ECF-σ HTCS		
Bacteroides intestinalis APC919-174 substr. 8W	#57251	Predicted PUL 30	HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 Sulf_1 GH43_28 Sulf_1		
Bacteroides intestinalis APC919-174 substr. 8W	#57282	Predicted PUL 61	GH105 SusD SusC unk GH154 GH154 HTCS		
Bacteroides intestinalis DSM 17393	#34	Predicted PUL 6	GH43_24|GH35|CBM32 GH115 SusD SusC HTCS GH115 CE12|GH43_24 GH43_9|CBM91 SusD SusC HTCS unk unk unk GH31 SusD SusC HTCS GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH16_3 GH43_24 unk SusD SusC HTCS GH154 unk unk SusD SusC ECF-σ HTCS		
Bacteroides intestinalis DSM 17393	#56	Predicted PUL 28	HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 unk GH88|GH154 Sulf_1 GH43_28 Sulf_1		
Bacteroides intestinalis DSM 17393	#74	Predicted PUL 46	GH105 SusD SusC unk GH154 GH154 HTCS		
Bacteroides intestinalis TSDC17.2	#27331	Predicted PUL 61	GH43_17 GH2 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24 SusD SusC HTCS GH43_24|GH16_3 GH16_3 unk SusD SusC SusD SusC unk HTCS GH154 unk unk SusD SusC unk unk unk Pept_MA SusD SusC ECF-σ		
Bacteroides oleiciplenus YIT 12058	#10121	Predicted PUL 41	HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 Sulf_1 GH43_28 Sulf_1 unk		
Bacteroides oleiciplenus YIT 12058	#10130	Predicted PUL 50	HTCS ECF-σ SusC SusD unk unk GH154 HTCS SusC SusD GH43_24 GH154 PL42 GH105 GH43_19|GH43_34 GH97|GH43_19 GH51_2 GH51_2 GH2 GH43_17 unk unk HTCS unk unk SusC SusD GH43_19 GH43_9|CBM91 GH2 GH51_2 unk CE12 GH43_24 GH115		
Bacteroides oleiciplenus YIT 12058	#10143	Predicted PUL 63	GH105 SusD SusC unk GH154 GH154 unk HTCS		
Bacteroides ovatus ATCC 8483	#397	Predicted PUL 49	GH2 CE12|CE12 HTCS unk unk unk unk GH106 unk unk PL11_1 SusD SusC unk unk SusD SusC unk GH2 GH88 GH154 Est GH28 unk GH95 GH2 GH105 PL11_1	#282	Lite 49
Bacteroides ovatus ATCC 8483 (new assembly)	#28661	Predicted PUL 56	GH2 CE12|CE12 HTCS unk GH106 unk unk PL11_1 SusD SusC unk unk SusD SusC unk GH2 GH88 GH154 Est GH28 GH95 GH2 GH105 PL11_1	#28541	Lite 49
Bacteroides ovatus BFG-107	#56354	Predicted PUL 96	GH130_1 unk GH30_6 SusD SusC GH130_1 unk GH30_6 SusD SusC unk GH154		
Bacteroides ovatus BFG-179	#66515	Predicted PUL 40	CBM32 SusD SusC unk HTCS Pept_SC unk GH154 GH43_34 GH127 unk HTCS unk SusD SusC unk GH97 GH51_2 GH43_19 GH35|CBM32		
Bacteroides ovatus BFG-179	#66541	Predicted PUL 66	GH130_1 unk GH30 GH30 SusD SusC GH130_1 unk GH30_6 SusD SusC unk GH154		
Bacteroides ovatus BFG-258	#66922	Predicted PUL 17	GH154 unk SusC SusD GH30_6 unk GH130_1 SusC SusD GH30 GH30_6 unk GH130_1		
Bacteroides ovatus BFG-258	#66947	Predicted PUL 42	GH35|CBM32 GH43_19 GH51_2 GH97 unk SusC SusD unk HTCS unk GH127 GH43_34 GH154 unk Pept_SC HTCS unk SusC SusD CBM32 unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides ovatus BFG-299	#67690	Predicted PUL 17	GH154 unk SusC SusD GH30_6 unk GH130_1 SusC SusD GH30_6 unk GH130_1		
Bacteroides ovatus C1266	#53281	Predicted PUL 50	GH28 GH154 GH88 GH2 unk SusC SusD unk unk SusC SusD PL11_1 unk unk GH106 unk HTCS CE12|CE12 GH2		
Bacteroides ovatus C145	#53087	Predicted PUL 75	HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 Sulf_1 GH43_28 Sulf_1|GH154 GH154 GH105		
Bacteroides ovatus CP926	#75518	Predicted PUL 79	GH154 unk SusC SusD GH30_6 unk GH130_1 SusC SusD GH30_6 unk GH130_1		
Bacteroides ovatus FDAARGOS_1235	#49333	Predicted PUL 45	GH2 CE12|CE12 HTCS unk GH106 unk unk PL11_1 SusD SusC unk unk SusD SusC unk GH2 GH88 GH154 Est GH28 GH95 GH2 GH105 PL11_1		
Bacteroides ovatus H-2495	#80420	Predicted PUL 35	HTCS GH2 Est CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 GH43_28 Sulf_1 GH154 GH154 GH105		
Bacteroides ovatus H-2495	#80473	Predicted PUL 88	GH43_19 GH154 unk HTCS SusC SusD GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides ovatus NLAE-zl-C11	#4235	Predicted PUL 44	GH35|CBM32 GH43_19 GH51_2 GH97 unk GH31_4 HTCS unk HTCS SusC SusD SusC SusD unk GH16_3 GH16_3|GH43_24 GH154 GH43_24 PL42 GH105		
Bacteroides ovatus NLAE-zl-C34	#4350	Predicted PUL 62	GH35|CBM32 GH43_19 GH51_2 GH97 unk GH31_4 HTCS unk HTCS SusC SusD SusC SusD unk GH16_3 GH16_3|GH43_24 GH154 GH43_24 PL42 GH105		
Bacteroides ovatus NLAE-zl-C500	#4401	Predicted PUL 15	GH35|CBM32 GH43_19 GH51_2 GH97 unk GH31_4 HTCS unk HTCS SusC SusD SusC SusD unk GH16_3 GH16_3|GH43_24 GH154 GH43_24 PL42 GH105		
Bacteroides ovatus NLAE-zl-C57	#4496	Predicted PUL 15	GH105 PL42 GH43_24 GH154 GH16_3|GH43_24 GH16_3 unk SusD SusC SusD SusC HTCS unk HTCS GH31_4 unk GH97 GH51_2 GH43_19 GH35|CBM32		
Bacteroides ovatus NLAE-zl-H304	#13259	Predicted PUL 91	GH154 unk unk SusC SusD GH30_6 unk GH130_1 SusC SusC SusD GH30_6 unk GH130_1		
Bacteroides ovatus NLAE-zl-H361	#13886	Predicted PUL 88	GH154 unk unk SusC SusD GH30_6 unk GH130_1 SusC SusC SusD GH30_6 unk GH130_1		
Bacteroides ovatus NLAE-zl-H59	#13731	Predicted PUL 57	unk unk PL11_1 SusD SusC unk unk SusD SusC unk GH2 GH88 GH154 GH28		
Bacteroides ovatus NLAE-zl-H73	#14118	Predicted PUL 44	GH28 GH154 GH88 GH2 unk SusC SusD unk unk SusC SusD PL11_1 unk unk		
Bacteroides ovatus SD CMC 3f	#2186	Predicted PUL 78	GH130_1 unk GH30_6 SusD SusC GH130_1 unk GH30_6 SusD SusC unk GH154		
Bacteroides ovatus V975	#23955	Predicted PUL 20	GH2 CE12|CE12 HTCS unk GH106 unk unk PL11_1 SusD SusC unk unk SusD SusC unk GH2 GH88 GH154 Est GH28 GH95 GH2 GH105 PL11_1		
Bacteroides ovatus VPIC145	#61541	Predicted PUL 75	HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 Sulf_1 GH43_28 Sulf_1|GH154 GH154 GH105		
Bacteroides ovatus WH208	#53447	Predicted PUL 92	GH105 GH154 GH154|Sulf_1 GH43_28 Sulf_1 GH88|GH154 GH50 unk SusD SusC CBM|CBM|CBM96 CE20|CE6 GH2 HTCS		
Bacteroides ovatus WH214	#53519	Predicted PUL 40	GH105 GH154 GH154|Sulf_1 GH43_28 Sulf_1 GH88|GH154 GH50 unk SusD SusC CBM|CBM|CBM96 CE20|CE6 GH2 HTCS		
Bacteroides ovatus WH711	#54131	Predicted PUL 51	GH28 GH154 GH88 GH2 unk SusC SusD unk unk SusC SusD PL11_1 unk unk GH106 unk HTCS CE12|CE12 GH2		
Bacteroides ovatus WH713	#54267	Predicted PUL 64	PL11_1 GH105 GH2 GH95 GH28 Est GH154 GH88 GH2 unk SusC SusD unk unk SusC SusD PL11_1 unk unk GH106 unk HTCS CE12|CE12 GH2		
Bacteroides propionicifaciens DSM 19291	#12403	Predicted PUL 2	unk unk unk unk unk unk GH88 GH43_10|CBM91 PL40 GH146 GH28 GH97 unk unk unk SusD SusC HTCS unk unk GH43_19|GH43_34 SusC SusD SusC SusD unk GH43_24|GH16_3 GH2 GH43_24 HTCS GH105 GH154 GH2 PL42 unk SusD SusC		
Bacteroides pyogenes DSM 20611	#11778	Predicted PUL 12	unk SusC SusC SusD GH154		
Bacteroides pyogenes F0041	#14878	Predicted PUL 14	GH154 SusD SusC		
Bacteroides salyersiae BFG-256	#55993	Predicted PUL 6	GH43_26 GH88 GH unk GH154 SusD SusC HTCS		
Bacteroides salyersiae BFG-256	#56026	Predicted PUL 39	ECF-σ Anti-σ SusC SusD GH105 GH76 PL32 PL32 GH154 GH105|CBM32		
Bacteroides salyersiae BFG-288	#55822	Predicted PUL 39	ECF-σ Anti-σ SusC SusD GH105 GH76 PL32 PL32 GH154 GH105|CBM32		
Bacteroides salyersiae CL02T12C01	#16246	Predicted PUL 42	ECF-σ Anti-σ SusC SusD GH105 GH76 PL32 PL|PL32 GH154 GH105|CBM32		
Bacteroides salyersiae CSP6	#75600	Predicted PUL 44	ECF-σ Anti-σ SusC SusD GH105 GH76 PL32 PL|PL32 GH154 GH105|CBM32		
Bacteroides salyersiae WAL 10018	#10741	Predicted PUL 35	HTCS SusC SusD GH154 unk GH GH88 GH43_26		
Bacteroides salyersiae WAL 10018	#10756	Predicted PUL 50	CBM32|GH105 GH154 PL|PL32 PL32 GH76 GH105 SusD SusC Anti-σ ECF-σ		
Bacteroides salyersiae WAL7960	#70856	Predicted PUL 50	GH105|CBM32 GH154 PL|PL32 PL32 GH76 GH105 SusD SusC Anti-σ ECF-σ		
Bacteroides salyersiae WAL9166	#70751	Predicted PUL 3	HTCS SusC SusD GH154 unk GH GH88 GH43_26		
Bacteroides salyersiae WAL9166	#70787	Predicted PUL 39	GH105|CBM32 GH154 PL|PL32 PL32 GH76 GH105 SusD SusC Anti-σ ECF-σ		
Bacteroides sp. 14(A)	#19624	Predicted PUL 71	GH10|CBM48|CE HTCS unk GH154 SusC SusD unk GH2		
Bacteroides sp. 14(A)	#19628	Predicted PUL 75	Anti-σ unk ECF-σ SusC SusD Pept_MA unk unk unk SusC SusD unk unk GH154 HTCS unk SusC SusD SusC SusD unk GH16_3 GH43_24|GH16_3 HTCS SusC SusD GH43_24 GH154 PL42 GH105 GH43_19|GH43_34 GH97|GH43_19 GH51_2 GH51_2 GH2 GH43_17		
Bacteroides sp. 1_1_14	#1805	Predicted PUL 53	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 unk GH31_4 HTCS unk GH97 GH43_34|CBM32 unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 unk GH43_24 PL42 GH105		
Bacteroides sp. 1_1_30	#2227	Predicted PUL 10	GH105 GH154 GH154|Sulf_1 CBM32 GH43_28 GH88|GH154 GH50 unk SusD SusC CBM|CBM|CBM96 CE20 GH2 HTCS		
Bacteroides sp. 1_1_6	#1617	Predicted PUL 26	GH130_1 unk GH30_6 SusD SusC unk unk GH154		
Bacteroides sp. 1_1_6	#1621	Predicted PUL 30	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146		
Bacteroides sp. 1_1_6	#1650	Predicted PUL 59	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 unk GH31_4 unk HTCS unk GH97 GH43_34|CBM32 unk GH43_10|CBM91 GH97 GH29 unk unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 unk GH43_24 PL42 GH105		
Bacteroides sp. 2_1_16	#3566	Predicted PUL 20	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides sp. 2_1_22	#3466	Predicted PUL 6	GH105 PL42 GH43_24 GH154 GH16_3|GH43_24 GH16_3 unk SusD SusC SusD SusC HTCS unk GH97 GH51_2 GH43_19		
Bacteroides sp. 2_1_22	#3499	Predicted PUL 39	GH105 GH154 GH154|Sulf_1 GH43_28 GH88|GH154 GH50 unk SusD SusC CBM|CBM|CBM96 CE20 GH2 HTCS		
Bacteroides sp. 2_1_56FAA	#762	Predicted PUL 4	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides sp. 2_2_4	#2387	Predicted PUL 69	GH105 PL42 GH43_24 GH16_3|GH43_24 unk unk SusD SusC unk HTCS Pept_SC unk GH154 GH43_34 GH127 unk HTCS unk SusD SusC unk GH97 GH51_2 GH43_19 GH35|CBM32		
Bacteroides sp. 3_1_33FAA	#1575	Predicted PUL 58	SusC SusD GH43_17 GH43_24 GH43_9|CBM91|GH43_19 SusD SusC SusD SusC HTCS unk GH105|GH154 PL42		
Bacteroides sp. 3_1_40A	#1055	Predicted PUL 22	PL42 GH105|GH154 unk HTCS SusC SusD SusC SusD CBM GH16_3 GH43_24 GH43_17 SusD SusC		
Bacteroides sp. 3_2_5	#845	Predicted PUL 24	SusC SusD GH3 GH144 unk unk HTCS SusC SusD unk PL33_1 GH88 unk GH20 GH2 GH154		
Bacteroides sp. 4_3_47FAA	#660	Predicted PUL 21	SusC SusD GH43_17 GH43_24 GH43_9|CBM91|GH43_19 SusD SusC SusC SusD SusC HTCS unk GH105|GH154 PL42		
Bacteroides sp. 9_1_42FAA	#573	Predicted PUL 45	GH140 GH43_18 unk HTCS GH43_24 GH154 GH88 SusD SusC PL26 GH2 GH106 GH154 GH88 GH2 GH43_10|CBM91 HTCS GH28 CBM67|GH78 GH35 SusD SusC Anti-σ ECF-σ		
Bacteroides sp. 9_1_42FAA	#584	Predicted PUL 56	SusC SusD GH43_17 GH43_24 GH43_9|CBM91|GH43_19 SusD SusC SusD SusC HTCS unk GH105|GH154 PL42		
Bacteroides sp. AR20	#4608	Predicted PUL 29	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS		
Bacteroides sp. AR20	#4613	Predicted PUL 34	GH154 unk SusC SusD GH30_6 unk GH130_1		
Bacteroides sp. AR20	#4634	Predicted PUL 55	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides sp. BFG-257 BFG-257	#64486	Predicted PUL 2	HTCS GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24 SusD SusC unk GH128 unk HTCS unk GH43_24|GH16_3 GH16_3 CBM32 SusD SusC unk SusC unk HTCS GH154 unk unk unk Pept_MA SusD SusC SusC ECF-σ unk unk Anti-σ		
Bacteroides sp. BFG-257 BFG-257	#64489	Predicted PUL 5	GH2 unk unk SusD SusC GH154 unk HTCS GH10|CBM48|CE		
Bacteroides sp. D1	#1972	Predicted PUL 47	GH105 PL42 GH43_24 GH154 GH16|GH43_24 GH16_3 unk SusD SusD SusC HTCS GH97 GH51_2 GH43_19		
Bacteroides sp. D1	#1982	Predicted PUL 57	HTCS GH2 CE20 CBM|CBM|CBM96 SusC SusD unk GH50 GH154 GH43_28 Sulf_1 GH154 GH154 GH105		
Bacteroides sp. D20	#3290	Predicted PUL 37	GH154 PL42 GH105 GH43_19|GH43_34 GH97 GH51_2 GH127 GH51_2 GH2 HTCS SusC SusD unk GH43_24 unk unk GH43_24|GH35|CBM32		
Bacteroides sp. D22	#1840	Predicted PUL 5	HTCS GH2 CE20 CBM|CBM|CBM96 SusC SusD unk GH50 GH88|GH154 Sulf_1 GH43_28 Sulf_1 GH154 GH154 GH105		
Bacteroides sp. DH3716P	#73340	Predicted PUL 85	GH154 unk SusC SusD GH30_6 unk GH130_1 SusC		
Bacteroides sp. PHL 2737	#46817	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 unk SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides sp. UW	#55534	Predicted PUL 42	SusC SusD GH3 GH144 unk unk HTCS SusC SusD PL33_1 GH88 Sulf_1 GH20 GH2 GH154		
Bacteroides sp. ZJ-18	#50284	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides stercorirosoris DSM 26884	#57088	Predicted PUL 31	GH43_24|GH35|CBM32 GH115 SusD SusC HTCS unk GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24|GH16_3 GH16_3 CBM32 SusD SusC SusD SusC unk HTCS GH154 unk unk unk Pept_MA SusD SusC SusC ECF-σ unk Anti-σ		
Bacteroides stercorirosoris DSM 26884	#57097	Predicted PUL 40	unk SusD SusC GH154 GH154 unk HTCS		
Bacteroides stercorirosoris DSM 26884	#57119	Predicted PUL 62	ECF-σ Anti-σ SusC SusD GH105 GH154 GH2|CBM		
Bacteroides stercoris BFG-121	#56153	Predicted PUL 17	GH2 unk SusD SusC GH154 unk HTCS unk CE4		
Bacteroides stercoris CL09T03C01	#56914	Predicted PUL 32	GH105 GH154 GH154 Sulf_1 GH43_28 Sulf_1 GH88|GH154 GH2|CBM GH GH50 unk SusD SusC CBM|CBM|CBM96 CE20|CE6 unk GH2 HTCS unk SusD SusC SusR		
Bacteroides thetaiotaomicron 7330	#21644	Predicted PUL 4	GH130_1 unk GH30_6 SusD SusC unk GH154		
Bacteroides thetaiotaomicron 7330	#21691	Predicted PUL 51	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk GH97 GH43_10|CBM91 GH43_34|CBM32 GH97 HTCS GH31_4 unk GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32		
Bacteroides thetaiotaomicron 7330 (new assembly)	#28401	Predicted PUL 4	GH130_1 unk GH30_6 SusD SusC unk GH154	#28310	Lite 4
Bacteroides thetaiotaomicron 7330 (new assembly)	#28469	Predicted PUL 72	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk GH97 GH43_10|CBM91 GH43_34|CBM32 GH97 HTCS GH31_4 unk GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32	#28382	Lite 76
